## File generated by myo_cap software
## Available from github.com/ddantas/myo_cap
## Timestamp: 2018-05-23_20-57-32
##
## EMG capture settings##
# sampleRate: 2000
# channelsPerBoard: 4
# nBoards: 1
# bitsPerSample: 12
##
## Data
## t;ch0;ch1;...;ch(channelsPerBoard * nBoards - 1)
25;17;19;32
42;48;66;114
68;93;127;130
95;130;141;135
122;143;131;153
226;273;242;256
264;335;315;282
236;325;295;251
174;254;248;255
61;122;126;134
0;0;9;12
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
17;6;4;3
27;21;23;33
51;62;87;125
70;100;135;144
102;142;137;136
158;206;228;256
260;343;340;328
255;326;319;293
202;273;255;246
120;160;163;154
2;9;29;45
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
8;0;0;0
28;23;27;38
42;48;66;98
59;84;121;127
85;128;135;141
119;147;131;144
230;279;249;252
265;353;341;321
237;339;324;293
167;251;256;228
55;120;138;139
0;0;13;22
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
16;5;5;2
33;29;31;41
48;62;87;122
78;118;134;136
102;149;136;138
168;226;250;259
256;329;321;301
253;318;300;263
201;269;253;241
108;166;158;138
2;13;32;46
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;1
11;1;1;1
23;18;19;21
47;55;74;117
68;103;134;145
106;142;138;135
139;166;165;152
256;305;268;261
261;324;303;265
210;283;257;253
127;188;195;216
8;37;73;128
0;0;0;12
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
19;9;6;3
41;42;55;79
57;75;109;129
81;122;145;132
117;142;131;151
205;259;254;257
263;338;337;321
256;331;319;291
199;264;258;247
84;132;136;137
0;5;25;40
0;0;0;0
0;0;0;0
0;0;0;0
4;0;0;2
20;8;11;22
37;35;48;73
46;61;92;134
69;105;137;139
107;132;133;130
153;191;202;222
260;345;330;318
255;327;315;287
207;283;261;258
123;166;169;173
2;14;40;63
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
12;0;1;0
22;15;10;16
49;53;71;108
70;102;137;130
97;131;141;138
129;146;138;133
251;282;258;257
264;333;316;299
227;309;270;253
137;208;221;245
14;58;109;132
0;0;6;18
0;0;0;0
0;0;0;0
0;0;0;0
12;1;2;8
21;12;6;6
42;46;58;92
59;80;122;141
89;130;130;132
118;134;130;139
212;254;252;262
262;355;352;347
241;317;304;278
180;258;249;236
69;130;149;141
0;0;12;21
0;0;0;0
0;0;0;0
0;0;0;0
3;0;0;0
20;11;12;23
34;30;39;58
53;67;97;136
75;115;126;132
106;154;135;141
185;249;255;245
256;332;324;308
252;318;303;268
186;254;256;255
88;138;137;135
0;0;13;23
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
18;6;9;12
28;21;24;32
51;61;87;128
70;99;133;140
102;139;134;138
128;165;163;161
251;301;263;256
259;330;315;291
219;297;261;252
138;196;206;217
17;50;98;133
0;0;9;26
0;0;0;0
0;0;0;0
0;0;0;0
7;0;0;2
21;13;12;15
43;46;65;102
62;84;120;131
85;132;138;135
120;155;143;139
245;280;253;250
