## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2019-02-04_16-18-50 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch/%d;%d;%d;%d;lp/%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;52;83;83;88;94;94;3;5;5;5;8;8;4;20;20;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;52;83;83;86;92;92;4;4;4;6;7;7;4;22;22;
0;0;0;0;60;87;87;80;89;89;6;2;2;7;5;5;4;13;13;
0;0;0;0;60;87;87;80;89;89;6;2;2;7;5;5;4;13;13;
0;0;0;0;60;87;87;80;89;89;6;2;2;7;5;5;4;13;13;
0;0;0;0;60;87;87;80;89;89;6;2;2;7;5;5;4;13;13;
0;0;0;0;60;87;87;80;89;89;6;2;2;7;5;5;4;13;13;
0;0;0;0;60;87;87;80;89;89;6;2;2;7;5;5;4;13;13;
0;0;0;0;60;87;87;80;89;89;6;2;2;7;5;5;4;13;13;
0;0;0;0;60;87;87;80;89;89;6;2;2;7;5;5;4;13;13;
0;0;0;0;60;87;87;80;89;89;6;2;2;7;5;5;4;13;13;
0;0;0;0;60;87;87;80;89;89;6;2;2;7;5;5;4;13;13;
0;0;0;0;60;87;87;80;89;89;6;2;2;7;5;5;4;13;13;
